 1
 0
        JDAY  MM  DD      TEMP    SALT JDAY=0 FOR JAN 01
      0.0000  01  01      6.00      0.21
      1.0000  01  02      5.80      0.18
      2.0000  01  03      1.90      0.29
      3.0000  01  04      1.30      0.30
      4.0000  01  05      3.70      0.24
      5.0000  01  06      5.10      0.23
      6.0000  01  07      6.00      0.23
      7.0000  01  08      6.50      0.22
      8.0000  01  09      6.50      0.20
      9.0000  01  10      5.80      0.22
     10.0000  01  11      5.30      0.23
     11.0000  01  12      5.20      0.23
     12.0000  01  13      5.50      0.24
     13.0000  01  14      6.10      0.24
     14.0000  01  15      6.30      0.24
     15.0000  01  16      6.20      0.24
     16.0000  01  17      4.80      0.26
     17.0000  01  18      3.80      0.31
     18.0000  01  19      3.70      0.35
     19.0000  01  20      2.60      0.39
     20.0000  01  21      1.20      0.40
     21.0000  01  22      1.00      0.40
     22.0000  01  23      1.10      0.39
     23.0000  01  24      1.10      0.39
     24.0000  01  25      1.20      0.38
     25.0000  01  26      0.60      0.39
     26.0000  01  27      0.70      0.38
     27.0000  01  28      1.10      0.37
     28.0000  01  29      1.20      0.37
     29.0000  01  30      1.50      0.35
     30.0000  01  31      1.50      0.36
     31.0000  02  01      1.50      0.35
     32.0000  02  02      2.20      0.29
     33.0000  02  03      2.40      0.29
     34.0000  02  04      2.30      0.31
     35.0000  02  05      2.60      0.31
     36.0000  02  06      3.20      0.31
     37.0000  02  07      3.90      0.31
     38.0000  02  08      3.60      0.31
     39.0000  02  09      3.50      0.32
     40.0000  02  10      3.10      0.32
     41.0000  02  11      1.50      0.35
     42.0000  02  12      1.00      0.35
     43.0000  02  13      0.90      0.38
     44.0000  02  14      1.90      0.32
     45.0000  02  15      1.20      0.63
     46.0000  02  16      1.60      0.65
     47.0000  02  17      1.60      0.64
     48.0000  02  18      2.70      0.61
     49.0000  02  19      3.30      0.63
     50.0000  02  20      2.30      0.63
     51.0000  02  21      1.80      0.67
     52.0000  02  22      1.60      0.66
     53.0000  02  23      1.60      0.67
     54.0000  02  24      1.70      0.63
     55.0000  02  25      2.20      0.63
     56.0000  02  26      2.60      0.65
     57.0000  02  27      3.40      0.69
     58.0000  02  28      3.40      0.63
     59.0000  02  29      2.90      0.59
     60.0000  03  01      3.60      0.54
     61.0000  03  02      4.30      0.41
     62.0000  03  03      5.10      0.36
     63.0000  03  04      6.00      0.35
     64.0000  03  05      6.90      0.33
     65.0000  03  06      6.00      0.33
     66.0000  03  07      5.30      0.34
     67.0000  03  08      4.80      0.33
     68.0000  03  09      4.30      0.29
     69.0000  03  10      4.50      0.29
     70.0000  03  11      5.90      0.29
     71.0000  03  12      6.70      0.28
     72.0000  03  13      7.10      0.29
     73.0000  03  14      8.30      0.28
     74.0000  03  15      9.90      0.27
     75.0000  03  16      8.80      0.28
     76.0000  03  17      5.70      0.35
     77.0000  03  18      6.00      0.43
     78.0000  03  19      6.50      0.43
     79.0000  03  20      8.30      0.34
     80.0000  03  21      8.10      0.30
     81.0000  03  22      8.60      0.28
     82.0000  03  23      9.70      0.28
     83.0000  03  24     10.10      0.28
     84.0000  03  25     10.10      0.28
     85.0000  03  26     10.30      0.27
     86.0000  03  27     10.90      0.26
     87.0000  03  28     12.10      0.25
     88.0000  03  29     11.70      0.25
     89.0000  03  30     11.30      0.25
     90.0000  03  31     11.30      0.25
     91.0000  04  01     11.40      0.25
     92.0000  04  02     12.30      0.24
     93.0000  04  03     12.60      0.24
     94.0000  04  04     11.60      0.24
     95.0000  04  05     10.80      0.24
     96.0000  04  06     10.20      0.24
     97.0000  04  07      9.50      0.24
     98.0000  04  08      8.90      0.24
     99.0000  04  09      8.90      0.24
    100.0000  04  10      9.90      0.24
    101.0000  04  11     11.20      0.23
    102.0000  04  12     12.10      0.22
    103.0000  04  13     12.40      0.21
    104.0000  04  14     12.10      0.21
    105.0000  04  15     11.70      0.18
    106.0000  04  16     10.80      0.16
    107.0000  04  17     11.20      0.17
    108.0000  04  18     12.00      0.18
    109.0000  04  19     12.90      0.18
    110.0000  04  20     13.90      0.18
    111.0000  04  21     14.70      0.18
    112.0000  04  22     15.50      0.18
    113.0000  04  23     16.90      0.18
    114.0000  04  24     18.20      0.18
    115.0000  04  25     18.50      0.18
    116.0000  04  26     17.90      0.18
    117.0000  04  27     16.20      0.18
    118.0000  04  28     15.20      0.18
    119.0000  04  29     15.20      0.17
    120.0000  04  30     16.00      0.17
    121.0000  05  01     16.30      0.17
    122.0000  05  02     16.80      0.17
    123.0000  05  03     17.30      0.17
    124.0000  05  04     17.60      0.18
    125.0000  05  05     17.80      0.18
    126.0000  05  06     17.40      0.18
    127.0000  05  07     17.50      0.18
    128.0000  05  08     18.00      0.18
    129.0000  05  09     18.00      0.17
    130.0000  05  10     17.60      0.16
    131.0000  05  11     17.90      0.16
    132.0000  05  12     17.80      0.17
    133.0000  05  13     17.40      0.17
    134.0000  05  14     17.70      0.17
    135.0000  05  15     18.50      0.17
    136.0000  05  16     19.10      0.16
    137.0000  05  17     18.40      0.16
    138.0000  05  18     17.90      0.16
    139.0000  05  19     17.10      0.16
    140.0000  05  20     16.40      0.17
    141.0000  05  21     16.40      0.17
    142.0000  05  22     17.10      0.16
    143.0000  05  23     17.80      0.16
    144.0000  05  24     18.60      0.17
    145.0000  05  25     19.80      0.17
    146.0000  05  26     21.10      0.16
    147.0000  05  27     22.40      0.16
    148.0000  05  28     22.60      0.16
    149.0000  05  29     22.60      0.16
    150.0000  05  30     22.90      0.16
    151.0000  05  31     23.40      0.16
    152.0000  06  01     23.70      0.16
    153.0000  06  02     24.10      0.16
    154.0000  06  03     23.90      0.16
    155.0000  06  04     22.10      0.15
    156.0000  06  05     22.00      0.13
    157.0000  06  06     22.30      0.14
    158.0000  06  07     22.90      0.14
    159.0000  06  08     24.50      0.14
    160.0000  06  09     25.90      0.15
    161.0000  06  10     26.40      0.15
    162.0000  06  11     26.30      0.15
    163.0000  06  12     26.00      0.16
    164.0000  06  13     26.00      0.16
    165.0000  06  14     25.20      0.17
    166.0000  06  15     24.60      0.17
    167.0000  06  16     24.60      0.18
    168.0000  06  17     24.60      0.18
    169.0000  06  18     24.50      0.18
    170.0000  06  19     24.40      0.19
    171.0000  06  20     23.90      0.20
    172.0000  06  21     24.30      0.20
    173.0000  06  22     24.80      0.19
    174.0000  06  23     24.80      0.20
    175.0000  06  24     24.80      0.20
    176.0000  06  25     24.90      0.20
    177.0000  06  26     25.50      0.20
    178.0000  06  27     26.50      0.21
    179.0000  06  28     27.10      0.21
    180.0000  06  29     27.00      0.22
    181.0000  06  30     26.60      0.23
    182.0000  07  01     26.20      0.24
    183.0000  07  02     25.80      0.25
    184.0000  07  03     25.50      0.28
    185.0000  07  04     25.20      0.30
    186.0000  07  05     25.00      0.32
    187.0000  07  06     25.30      0.32
    188.0000  07  07     25.90      0.32
    189.0000  07  08     26.50      0.31
    190.0000  07  09     27.00      0.31
    191.0000  07  10     27.40      0.30
    192.0000  07  11     27.40      0.31
    193.0000  07  12     27.50      0.32
    194.0000  07  13     27.20      0.34
    195.0000  07  14     26.90      0.34
    196.0000  07  15     26.90      0.35
    197.0000  07  16     27.10      0.36
    198.0000  07  17     27.50      0.38
    199.0000  07  18     28.00      0.39
    200.0000  07  19     28.10      0.39
    201.0000  07  20     27.90      0.36
    202.0000  07  21     27.40      0.32
    203.0000  07  22     27.40      0.32
    204.0000  07  23     26.60      0.30
    205.0000  07  24     25.20      0.25
    206.0000  07  25     25.30      0.24
    207.0000  07  26     26.00      0.26
    208.0000  07  27     26.50      0.28
    209.0000  07  28     26.20      0.26
    210.0000  07  29     26.50      0.26
    211.0000  07  30     26.60      0.27
    212.0000  07  31     26.80      0.26
    213.0000  08  01     27.00      0.28
    214.0000  08  02     27.40      0.33
    215.0000  08  03     27.50      0.35
    216.0000  08  04     27.60      0.36
    217.0000  08  05     27.50      0.40
    218.0000  08  06     27.10      0.31
    219.0000  08  07     27.40      0.31
    220.0000  08  08     27.60      0.32
    221.0000  08  09     27.60      0.36
    222.0000  08  10     26.70      0.34
    223.0000  08  11     25.50      0.33
    224.0000  08  12     25.40      0.35
    225.0000  08  13     25.90      0.37
    226.0000  08  14     26.00      0.41
    227.0000  08  15     25.90      0.46
    228.0000  08  16     26.00      0.46
    229.0000  08  17     26.30      0.48
    230.0000  08  18     26.10      0.50
    231.0000  08  19     25.60      0.55
    232.0000  08  20     24.40      0.54
    233.0000  08  21     23.00      0.47
    234.0000  08  22     22.30      0.45
    235.0000  08  23     22.70      0.44
    236.0000  08  24     23.50      0.50
    237.0000  08  25     24.50      0.53
    238.0000  08  26     25.00      0.57
    239.0000  08  27     24.90      0.65
    240.0000  08  28     24.90      0.75
    241.0000  08  29     24.70      0.85
    242.0000  08  30     25.00      0.92
    243.0000  08  31     25.20      0.95
    244.0000  09  01     24.90      0.99
    245.0000  09  02     24.80      1.05
    246.0000  09  03     24.90      1.15
    247.0000  09  04     25.30      1.14
    248.0000  09  05     25.60      1.19
    249.0000  09  06     25.60      1.19
    250.0000  09  07     24.60      0.57
    251.0000  09  08     25.10      0.55
    252.0000  09  09     25.30      0.59
    253.0000  09  10     25.30      0.62
    254.0000  09  11     24.90      0.67
    255.0000  09  12     23.90      0.66
    256.0000  09  13     23.60      0.66
    257.0000  09  14     24.10      0.73
    258.0000  09  15     24.10      0.72
    259.0000  09  16     23.10      0.74
    260.0000  09  17     22.30      0.83
    261.0000  09  18     21.90      0.92
    262.0000  09  19     21.60      1.02
    263.0000  09  20     21.30      1.05
    264.0000  09  21     21.40      1.02
    265.0000  09  22     21.90      1.04
    266.0000  09  23     22.20      1.09
    267.0000  09  24     21.90      1.15
    268.0000  09  25     21.40      1.23
    269.0000  09  26     21.30      1.29
    270.0000  09  27     21.70      1.33
    271.0000  09  28     22.10      1.31
    272.0000  09  29     21.50      1.14
    273.0000  09  30     21.10      1.25
    274.0000  10  01     19.70      1.01
    275.0000  10  02     19.50      1.03
    276.0000  10  03     20.10      1.01
    277.0000  10  04     20.90      1.01
    278.0000  10  05     21.30      0.99
    279.0000  10  06     20.40      1.01
    280.0000  10  07     19.60      1.04
    281.0000  10  08     19.80      1.10
    282.0000  10  09     20.20      1.11
    283.0000  10  10     20.00      0.73
    284.0000  10  11     19.40      0.59
    285.0000  10  12     18.10      0.42
    286.0000  10  13     17.20      0.47
    287.0000  10  14     16.20      0.48
    288.0000  10  15     15.70      0.52
    289.0000  10  16     15.60      0.53
    290.0000  10  17     15.90      0.57
    291.0000  10  18     16.50      0.57
    292.0000  10  19     17.30      0.61
    293.0000  10  20     17.50      0.43
    294.0000  10  21     16.70      0.40
    295.0000  10  22     16.30      0.43
    296.0000  10  23     16.10      0.48
    297.0000  10  24     15.40      0.49
    298.0000  10  25     14.20      0.54
    299.0000  10  26     13.40      0.65
    300.0000  10  27     13.20      0.27
    301.0000  10  28     13.60      0.15
    302.0000  10  29     12.40      0.16
    303.0000  10  30     11.70      0.18
    304.0000  10  31     11.70      0.19
    305.0000  11  01     12.40      0.20
    306.0000  11  02     12.60      0.21
    307.0000  11  03     11.70      0.22
    308.0000  11  04      9.50      0.19
    309.0000  11  05     10.20      0.25
    310.0000  11  06      9.90      0.26
    311.0000  11  07      9.60      0.26
    312.0000  11  08     10.20      0.24
    313.0000  11  09     11.10      0.22
    314.0000  11  10     11.10      0.23
    315.0000  11  11     10.90      0.24
    316.0000  11  12     11.00      0.25
    317.0000  11  13     10.90      0.25
    318.0000  11  14     11.20      0.26
    319.0000  11  15     11.60      0.24
    320.0000  11  16     11.20      0.22
    321.0000  11  17     11.30      0.21
    322.0000  11  18     10.30      0.22
    323.0000  11  19      9.50      0.23
    324.0000  11  20      8.90      0.23
    325.0000  11  21      8.50      0.23
    326.0000  11  22      8.60      0.23
    327.0000  11  23      8.00      0.23
    328.0000  11  24      7.30      0.25
    329.0000  11  25      7.20      0.26
    330.0000  11  26      7.30      0.26
    331.0000  11  27      7.80      0.25
    332.0000  11  28      7.70      0.25
    333.0000  11  29      7.10      0.31
    334.0000  11  30      6.20      0.31
    335.0000  12  01      8.50      0.25
    336.0000  12  02      8.30      0.25
    337.0000  12  03      7.30      0.23
    338.0000  12  04      6.00      0.22
    339.0000  12  05      4.60      0.24
    340.0000  12  06      3.80      0.26
    341.0000  12  07      3.40      0.28
    342.0000  12  08      2.50      0.32
    343.0000  12  09      2.30      0.36
    344.0000  12  10      2.60      0.37
    345.0000  12  11      3.30      0.37
    346.0000  12  12      4.20      0.37
    347.0000  12  13      5.20      0.46
    348.0000  12  14      4.90      0.46
    349.0000  12  15      5.30      0.35
    350.0000  12  16      5.40      0.31
    351.0000  12  17      4.90      0.27
    352.0000  12  18      4.90      0.27
    353.0000  12  19      5.00      0.27
    354.0000  12  20      4.70      0.28
    355.0000  12  21      4.40      0.28
    356.0000  12  22      4.70      0.28
    357.0000  12  23      6.10      0.25
    358.0000  12  24      7.10      0.22
    359.0000  12  25      6.50      0.22
    360.0000  12  26      6.10      0.22
    361.0000  12  27      6.00      0.22
    362.0000  12  28      5.40      0.23
    363.0000  12  29      5.70      0.23
    364.0000  12  30      5.80      0.22
    365.0000  12  31      5.70      0.23
