Stage Discharge
(feet) (cfs)
53.00 8000 
53.04 8103.2001953125 
53.07 8212.7998046875 
53.11 8328.7998046875 
53.14 8451.2001953125 
53.18 8580 
53.22 8715.2001953125 
53.25 8856.7998046875 
53.29 9004.7998046875 
53.32 9159.2001953125 
53.36 9320 
53.40 9487.2001953125 
53.43 9660.7998046875 
53.47 9840.7998046875 
53.50 10027.2001953125 
53.54 10220 
53.58 10419.2001953125 
53.61 10624.7998046875 
53.65 10836.7998046875 
53.68 11055.2001953125 
53.72 11280 
53.76 11511.2001953125 
53.79 11748.7998046875 
53.83 11992.7998046875 
53.86 12243.2001953125 
53.90 12500 
53.94 12763.2001953125 
53.97 13032.7998046875 
54.01 13308.7998046875 
54.04 13591.2001953125 
54.08 13880 
54.12 14175.2001953125 
54.15 14476.7998046875 
54.19 14784.7998046875 
54.22 15099.2001953125 
54.26 15420 
54.30 15747.2001953125 
54.33 16080.7998046875 
54.37 16420.80078125 
54.40 16767.19921875 
54.44 17120 
54.48 17479.19921875 
54.51 17844.80078125 
54.55 18216.80078125 
54.58 18595.19921875 
54.62 18980 
54.66 19371.19921875 
54.69 19768.80078125 
54.73 20172.80078125 
54.76 20583.19921875 
54.80 21000 
55.26 24632.669921875 
55.72 28779.939453125 
56.19 33441.828125 
56.65 38618.328125 
57.11 44309.44140625 
57.57 50515.16015625 
58.03 57235.48828125 
58.50 64470.44140625 
58.96 72219.9921875 
59.42 80484.15625 
59.88 89262.9296875 
60.34 98556.3203125 
60.81 108364.3203125 
61.27 118686.9296875 
61.73 129524.15625 
62.19 140875.984375 
62.65 152742.4375 
63.12 165123.484375 
63.58 178019.15625 
64.04 191429.4375 
64.50 205354.3125 
64.96 219793.8125 
65.43 234747.9375 
65.89 250216.65625 
66.35 266200 
66.81 282697.9375 
67.27 299710.5 
67.74 317237.65625 
68.20 335279.4375 
68.66 353835.84375 
69.12 372906.84375 
69.58 392492.4375 
70.05 412592.65625 
70.51 433207.5 
70.97 454336.9375 
71.43 475981 
71.89 498139.6875 
72.36 520812.96875 
72.82 544000.875 
73.28 567703.375 
73.74 591920.5 
74.20 616652.1875 
74.67 641898.5 
75.13 667659.5 
75.59 693935.0625 
76.05 720725.1875 
76.51 748030 
76.98 775849.375 
77.44 804183.375 
