 1
 0
        JDAY  MM  DD      TEMP    SALT JDAY=0 FOR JAN 01
      0.0000  01  01      3.00      8.00
     14.0000  01  15      3.00      8.00
     45.0000  02  15      3.00      6.00
     74.0000  03  15      8.00      4.00
    105.0000  04  15     12.00      4.00
    135.0000  05  15     15.00      3.00
    166.0000  06  15     18.00      7.00
    196.0000  07  15     19.00     10.00
    227.0000  08  15     22.00     10.00
    258.0000  09  15     24.00      9.00
    288.0000  10  15     18.00      5.00
    319.0000  11  15     12.00      7.00
    349.0000  12  15      7.00      8.00
    365.0000  12  31      5.00      8.00
