No	X              	Y	Node	Depth	StationID	StationName		
1	-78.8900	42.8760	6089	4.44	9063020	"Buffalo, NY"	
2	-79.0480	42.6900	5915	0.50	9063028	"Sturgeon Point, NY"
3	-80.0750	42.1530	4879	1.68	9063038	"Erie, PA"
4	-83.4710	41.6930	1625	1.36	9063085	"Toledo, OH"
5	-82.7310	41.5450	2241	4.72	9063079	"Marblehead, OH"
6	-81.6350	41.5400	3090	4.02	9063063	"Cleveland, OH"
7	-81.2830	41.7500	3536	1.44	9063053	"Fairport, OH"
8	-83.2580	41.9600	161	1.05	9063090	"Fermi Pwr, MI"
9	-82.4000	41.6800	1892	12.85	45005	"West Erie"
10	-79.3500	42.7400	5686	25.61	45142	"Port Colborne BUOY"
11	-81.2200	42.4700	3565	20.22	45132	"Port Stanley BUOY"
12      -83.1850        42.0917 3       3.11    9044020 "Gibraltar, MI"
13      -78.9097        42.9055 6106    3.23    0000000 "Niagra Boundary"
14      -83.2615        41.7020	975     5.21    45165   "Oregon, OH"
15      -80.1370        42.1860 4663    13.93	45167   "Erie, PA Buoy"
16      -81.694         41.732  2868    21.17   45164   "Cleveland,OH Buoy"
17      -81.792         41.592  2862    17.43   45169   "Cleveland, OH B2"
18      -83.1167        42.05   20      2.61    12005   "BAR POINT"
19      -82.7333        42.0333 406     1.01    12065   "KINGSVILLE"
20      -81.9167        42.2667 2758    2.28    12250   "ERIEAU"
21      -81.2167        42.6667 3753    0.97    12400   "PORT STANLEY"
22      -80.2000        42.7833 5334    1.1     12710   "PORT DOVER"
23      -79.2500        42.8667 5873    3.81    12865   "PORT COLBORNE"
24      -78.8926        42.8824 6090    4.06    0000000 "For HEC-RAS 001"
25      -78.9227        42.8933 6094    3.20    0000000 "For HEC-RAS 002"
26      -78.9148        42.8923 6098    4.14    0000000 "For HEC-RAS 003"
27      -78.9076        42.8924 6097    3.47    0000000 "For HEC-RAS 004"
28      -78.8986        42.8906 6096    3.14    0000000 "For HEC-RAS 005"
