No      X               Y               Node    Depth   StationID       StationName
1	-87.313333	44.795		31191	1.591	9087072	 Sturgeon Bay Canal, WI
2	-87.501667	44.46333	28543	2.792	9087068	 Kewaunee, Lake Michigan, WI
3	-82.493333	43.14		69150	1.271	9075002	 Lakeport, MI
4	-82.643333	43.846667	80162	0.5	9075014	 Harbor Beach, MI
5	-83.898333	45.991667	65297	7.151	9075099	 De Tour Village, MI
6	-85.871667	45.97		45550	2.963	9087096	 Port Inland, MI
7	-87.59		45.095		13653	2.03	9087088	 Menominee, MI 
8	-88.006667	44.541667	100	3.398	9087079	 Green Bay, WI
9	-87.886667	43.0016667	14018	1.027	9087057	 Milwaukee, WI
10	-86.201667	42.768333	9636	1.929	9087031	 Holland, MI
11	-86.441667	43.946667	22756	5.075	9087023	 Ludington, MI
12	-84.725		45.8		51645	1.525	9075080	 Mackinaw City, MI
13	-83.428333	45.06333	75062	1.433	9075065	 Alpena, MI
14	-83.846667	43.64		90717	2.134	9075035	 Essexville, MI
15	-82.421667	43.0066667	66157	2.402	9014098	 Fort Gratiot, MI
16	-87.538333	41.73		2168	0.967	9087044	 Calumet Harbor, IL
17	-84.191667	46.265		50529	7.55	9076024	 Rock Cut, MI
18	-83.55		46.25		64660	4.612	11070	 Thessalon, ON
19	-81.93		45.98		52847	4.1	11195	 Little Current, ON
20	-79.85		44.75		50248	5.003	11445	 Midland, ON
21	-80.22		44.5		53057	0.609	11500	 Collingwood, ON
22	-81.67		45.25		68606	7.707	11690	 Tobermory, ON
23	-81.73		43.75		72734	1.139	11860	 Goderich, ON
24	-87.76		44.8		4386	14.502	45014	 South Green Bay, WI
25	-86.41		45.34		41862	175.205	45002	 North Michigan
26	-84.77		45.83		50551	26.988	45175	 Mackinac Straits West 
27	-82.84		45.35		79092	125.745	45003	 North Huron
28	-82.64		46.05		63837	31.573	45154	 North Channel East
29	-87.85		43.1		17064	19.467	45013	 Atwater Park, WI
30	-86.56		43.98		25779	27.545	45024	 Ludington Buoy, MI
31	-85.09		45.4		46281	43.711	45022	 Little Traverse Bay Buoy, MI
32	-83.27		44.98		79953	17.473	45162	 Thunder Bay Buoy, Alpena, MI
33	-81.01		45.54		61787	42.858	45137	 Georgian Bay
34	-87.66		42.14		7708	14.336	45174	 Wilmette Buoy, IL
35	-86.36		43.18		15990	21.416	45161	 Muskegon Buoy, MI
36	-86.27		42.9		13619	27.039	45029	 Holland Buoy, MI
37	-82.42		44.28		81488	50.526	45008	 South Huron
38	-80.63		44.94		58032	82.62	45143	 South Georgian Bay
39	-87.64		41.97		3558	2.258	45018	 Montrose Ave. Beach, Chicago, IL
40	-87.03		42.67		16903	159.743	45007	 South Michigan
41	-86.33		42.4		8472	17.578	45168	 South Haven Buoy, MI
42	-83.6		43.99		86757	12.633	45163	 Saginaw Bay Buoy, MI
43	-87.57		41.78		2268	0.55	45016	 Sixth-third St. Beach, Chicago, IL
44	-87.52		41.72		2092	0.5	45015	 Calumet Beach, Chicago, IL
45	-86.97		41.76		6002	19.905	45170	 Michigan City Buoy, IN
46	-86.62		41.98		6802	21.002	45026	 Cook Nuclear Plant Buoy, Stevensville, MI
47	-82.07		43.54		77951	59.911	45149	 Southern Lake Huron
