No              X              Y      Node  Depth StationID StationName
 1      -76.33167       44.13000     15386   9.08   9052000 Cape Vincent, NY
 2      -76.51166       43.46333     19051   3.65   9052030 Oswego, NY
 3      -77.62500       43.26833     10525   0.81   9052058 Rochester, NY
 4      -78.72667       43.33833      6164   1.64   9052076 Olcott, NY
 5      -79.21964       43.23671      3218   3.19     13030 Port Weller, ON
 6      -79.79344       43.29944        47   1.80     13150 Burlington, ON
 7      -79.38029       43.63977      4340   2.05     13320 Toronto, ON
 8      -78.16440       43.95647      9510   1.24     13590 Cobourg, ON
 9      -79.54000       43.26000      3375  33.09     45139 West Lake Ontario - Grimsby
10      -78.98000       43.77000      7081  49.71     45159 NW Lake Ontario Ajax
11      -77.41000       43.62000     21753 136.79     45012 EAST Lake Ontario - 20NM North Northeast of Rochester, NY
12      -76.87000       43.79000     26894  66.52     45135 Prince Edward Pt
