No              X              Y      Node  Depth StationID StationName
 1      -90.34167       47.74833     28460   4.84   9099090 Grand Marais, Lake Superior, MN
 2      -92.09167       46.77500      2546   0.47   9099064 Duluth, MN
 3      -89.32333       46.87333     26550   0.43   9099044 Ontonagon, MI
 4      -87.37833       46.54666     57490   3.64   9099018 Marquette C.G., MI
 5      -84.63000       46.48500     88137   2.10   9099004 Point Iroquois, MI
 6      -84.90109       47.96122     66704  20.74     10750 Michipicoten, Ontario
 7      -87.51959       48.83367     39307   0.75     10220 Rossport, Ontario
 8      -89.21730       48.40940     28854  14.08     10050 Thunder Bay, Ontario
 9      -84.58663       46.52893     88057   4.06     10920 Gros Cap, Ontario
10      -84.36718       46.51228     90950   8.50     10980 Sault Ste Marie, Ontario
11      -89.79000       47.33000     34387 191.24     45006 WEST SUPERIOR - 30NM NE of Outer Island, WI
12      -87.79000       48.06000     53009 243.97     45001 MID SUPERIOR- 60 NM North Northeast Hancock, MI
13      -86.59000       47.58000     67360 233.46     45004 EAST SUPERIOR -70 NM NE Marquette, MI
14      -88.61000       47.27000     37565  26.04     45023 North Entry Buoy, North Keweenaw Peninsula, MI
15      -91.93000       46.86000      6314  52.95     45027 McQuade Harbor Nearshore, MN
16      -86.95000       48.53000     54352 139.62     45136 Slate Island
17      -87.41000       46.72000     61565  58.35     45171 Granite Island Buoy, Granite Island, MI
18      -85.98000       46.74000     73398  28.20     45172 Grand Marais Buoy, Grand Marais, MI
19      -86.57000       46.57000     66075  37.19     45173 Munising Buoy, Munising, MI
