 1
 0
        JDAY  MM  DD      TEMP    SALT JDAY=0 FOR JAN 01
     14.0000  01  15     21.38     30.89
     45.0000  02  15     20.37     34.82
     74.0000  03  15     21.14     33.76
    105.0000  04  15     22.90     32.27
    135.0000  05  15     24.71     34.91
    166.0000  06  15     27.55     34.17
    196.0000  07  15     29.07     32.13
    227.0000  08  15     29.55     32.16
    258.0000  09  15     28.68     34.84
    288.0000  10  15     26.64     35.24
    319.0000  11  15     24.59     35.79
    349.0000  12  15     22.80     33.00
