1   !! number of vertical layers
0   ! vertical depth of climatology
  JDAY  MM  DD    TEMP    SALT    nontide JDAY=0 FOR JAN 01
    0    1    1   8.989    1.000    .293
    1    1    2   8.926    1.000    .290
    2    1    3   8.991    1.000    .284
    3    1    4   8.913    1.000    .278
    4    1    5   8.891    1.000    .268
    5    1    6   8.870    1.000    .268
    6    1    7   8.833    1.000    .263
    7    1    8   8.776    1.000    .258
    8    1    9   8.715    1.000    .255
    9    1   10   8.680    1.000    .250
   10    1   11   8.590    1.000    .243
   11    1   12   8.622    1.000    .239
   12    1   13   8.750    1.000    .235
   13    1   14   8.796    1.000    .229
   14    1   15   8.818    1.000    .224
   15    1   16   8.791    1.000    .221
   16    1   17   8.819    1.000    .219
   17    1   18   8.914    1.000    .215
   18    1   19   8.988    1.000    .210
   19    1   20   9.034    1.000    .205
   20    1   21   9.119    1.000    .201
   21    1   22   9.155    1.000    .198
   22    1   23   9.246    1.000    .196
   23    1   24   9.306    1.000    .194
   24    1   25   9.361    1.000    .192
   25    1   26   9.491    1.000    .189
   26    1   27   9.489    1.000    .187
   27    1   28   9.410    1.000    .186
   28    1   29   9.431    1.000    .186
   29    1   30   9.536    1.000    .187
   30    1   31   9.644    1.000    .188
   31    2    1   9.830    1.000    .190
   32    2    2   9.857    1.000    .192
   33    2    3   9.956    1.000    .192
   34    2    4  10.112    1.000    .191
   35    2    5  10.279    1.000    .190
   36    2    6  10.428    1.000    .187
   37    2    7  10.562    1.000    .184
   38    2    8  10.608    1.000    .180
   39    2    9  10.626    1.000    .177
   40    2   10  10.606    1.000    .175
   41    2   11  10.683    1.000    .181
   42    2   12  10.775    1.000    .214
   43    2   13  10.898    1.000    .218
   44    2   14  10.952    1.000    .219
   45    2   15  11.075    1.000    .217
   46    2   16  11.069    1.000    .213
   47    2   17  11.122    1.000    .214
   48    2   18  11.127    1.000    .216
   49    2   19  10.983    1.000    .212
   50    2   20  10.886    1.000    .212
   51    2   21  10.936    1.000    .212
   52    2   22  11.127    1.000    .216
   53    2   23  11.288    1.000    .208
   54    2   24  11.348    1.000    .206
   55    2   25  11.408    1.000    .187
   56    2   26  11.379    1.000    .131
   57    2   27  11.322    1.000    .130
   58    2   28  11.418    1.000    .161
   59    2   29  11.753    1.000    .134
   60    3    1  11.454    1.000    .212
   61    3    2  11.616    1.000    .217
   62    3    3  11.698    1.000    .225
   63    3    4  11.781    1.000    .234
   64    3    5  11.976    1.000    .239
   65    3    6  12.145    1.000    .247
   66    3    7  12.041    1.000    .253
   67    3    8  12.164    1.000    .262
   68    3    9  12.125    1.000    .272
   69    3   10  12.114    1.000    .282
   70    3   11  12.222    1.000    .291
   71    3   12  12.357    1.000    .301
   72    3   13  12.347    1.000    .312
   73    3   14  12.479    1.000    .307
   74    3   15  12.616    1.000    .303
   75    3   16  12.793    1.000    .305
   76    3   17  12.982    1.000    .309
   77    3   18  13.045    1.000    .311
   78    3   19  12.894    1.000    .314
   79    3   20  13.040    1.000    .318
   80    3   21  13.103    1.000    .321
   81    3   22  13.069    1.000    .323
   82    3   23  12.902    1.000    .323
   83    3   24  12.858    1.000    .325
   84    3   25  12.778    1.000    .331
   85    3   26  12.861    1.000    .336
   86    3   27  12.982    1.000    .342
   87    3   28  13.250    1.000    .347
   88    3   29  13.545    1.000    .352
   89    3   30  13.629    1.000    .357
   90    3   31  13.829    1.000    .360
   91    4    1  13.970    1.000    .361
   92    4    2  14.160    1.000    .363
   93    4    3  14.183    1.000    .362
   94    4    4  14.287    1.000    .363
   95    4    5  14.252    1.000    .363
   96    4    6  14.285    1.000    .363
   97    4    7  14.365    1.000    .362
   98    4    8  14.359    1.000    .360
   99    4    9  14.447    1.000    .357
  100    4   10  14.412    1.000    .354
