 1   !! number of vertical layers
 0   ! vertical depth of climatology
      JDAY  MM  DD   TEMP   SALT JDAY=0 FOR JAN 01
      .0    1    1   10.85  33.20
     1.0    1    2   10.83  33.20
     2.0    1    3   10.77  33.20
     3.0    1    4   10.70  33.20
     4.0    1    5   10.73  33.20
     5.0    1    6   10.69  33.20
     6.0    1    7   10.69  33.20
     7.0    1    8   10.69  33.20
     8.0    1    9   10.70  33.20
     9.0    1   10   10.64  33.20
    10.0    1   11   10.56  33.20
    11.0    1   12   10.56  33.20
    12.0    1   13   10.62  33.20
    13.0    1   14   10.64  33.20
    14.0    1   15   10.68  33.20
    15.0    1   16   10.66  33.20
    16.0    1   17   10.69  33.20
    17.0    1   18   10.69  33.20
    18.0    1   19   10.73  33.20
    19.0    1   20   10.74  33.20
    20.0    1   21   10.73  33.20
    21.0    1   22   10.69  33.20
    22.0    1   23   10.75  33.20
    23.0    1   24   10.70  33.20
    24.0    1   25   10.78  33.20
    25.0    1   26   10.85  33.20
    26.0    1   27   10.85  33.20
    27.0    1   28   10.84  33.20
    28.0    1   29   10.87  33.20
    29.0    1   30   10.91  33.20
    30.0    1   31   10.94  33.20
    31.0    2    1   10.99  33.20
    32.0    2    2   11.02  33.20
    33.0    2    3   11.08  33.20
    34.0    2    4   11.10  33.20
    35.0    2    5   11.14  33.20
    36.0    2    6   11.19  33.20
    37.0    2    7   11.20  33.20
    38.0    2    8   11.23  33.20
    39.0    2    9   11.23  33.20
    40.0    2   10   11.22  33.20
    41.0    2   11   11.22  33.20
    42.0    2   12   11.25  33.20
    43.0    2   13   11.27  33.20
    44.0    2   14   11.27  33.20
    45.0    2   15   11.29  33.20
    46.0    2   16   11.33  33.20
    47.0    2   17   11.34  33.20
    48.0    2   18   11.32  33.20
    49.0    2   19   11.23  33.20
    50.0    2   20   11.18  33.20
    51.0    2   21   11.22  33.20
    52.0    2   22   11.35  33.20
    53.0    2   23   11.40  33.20
    54.0    2   24   11.45  33.20
    55.0    2   25   11.50  33.20
    56.0    2   26   11.52  33.20
    57.0    2   27   11.47  33.20
    58.0    2   28   11.48  33.20
    59.0    2   29   10.59  33.20
    60.0    3    1   11.53  33.20
    61.0    3    2   11.58  33.20
    62.0    3    3   11.61  33.20
    63.0    3    4   11.65  33.20
    64.0    3    5   11.69  33.20
    65.0    3    6   11.72  33.20
    66.0    3    7   11.72  33.20
    67.0    3    8   11.74  33.20
    68.0    3    9   11.74  33.20
    69.0    3   10   11.72  33.20
    70.0    3   11   11.70  33.20
    71.0    3   12   11.73  33.20
    72.0    3   13   11.72  33.20
    73.0    3   14   11.71  33.20
    74.0    3   15   11.78  33.20
    75.0    3   16   11.86  33.20
    76.0    3   17   11.94  33.20
    77.0    3   18   11.98  33.20
    78.0    3   19   11.99  33.20
    79.0    3   20   11.97  33.20
    80.0    3   21   11.97  33.20
    81.0    3   22   11.98  33.20
    82.0    3   23   11.98  33.20
    83.0    3   24   11.81  33.20
    84.0    3   25   11.63  33.20
    85.0    3   26   11.66  33.20
    86.0    3   27   11.58  33.20
    87.0    3   28   11.62  33.20
    88.0    3   29   11.77  33.20
    89.0    3   30   11.93  33.20
    90.0    3   31   11.98  33.20
    91.0    4    1   12.08  33.20
    92.0    4    2   12.15  33.20
    93.0    4    3   12.10  33.20
    94.0    4    4   12.05  33.20
    95.0    4    5   12.07  33.20
    96.0    4    6   12.03  33.20
    97.0    4    7   12.02  33.20
    98.0    4    8   11.89  33.20
    99.0    4    9   11.99  33.20
   100.0    4   10   11.93  33.20
   101.0    4   11   11.99  33.20
   102.0    4   12   11.99  33.20
   103.0    4   13   11.94  33.20
   104.0    4   14   11.90  33.20
   105.0    4   15   11.85  33.20
   106.0    4   16   11.76  33.20
   107.0    4   17   11.72  33.20
   108.0    4   18   11.75  33.20
   109.0    4   19   11.86  33.20
   110.0    4   20   12.02  33.20
   111.0    4   21   12.09  33.20
   112.0    4   22   12.17  33.20
   113.0    4   23   12.18  33.20
   114.0    4   24   12.31  33.20
   115.0    4   25   12.47  33.20
   116.0    4   26   12.60  33.20
   117.0    4   27   12.61  33.20
   118.0    4   28   12.57  33.20
   119.0    4   29   12.56  33.20
   120.0    4   30   12.44  33.20
   121.0    5    1   12.16  33.20
   122.0    5    2   11.95  33.20
   123.0    5    3   11.88  33.20
   124.0    5    4   11.91  33.20
   125.0    5    5   12.00  33.20
   126.0    5    6   12.11  33.20
   127.0    5    7   12.16  33.20
   128.0    5    8   12.24  33.20
   129.0    5    9   12.29  33.20
   130.0    5   10   12.38  33.20
   131.0    5   11   12.27  33.20
   132.0    5   12   12.34  33.20
   133.0    5   13   12.30  33.20
   134.0    5   14   12.20  33.20
   135.0    5   15   12.25  33.20
   136.0    5   16   12.30  33.20
   137.0    5   17   12.31  33.20
   138.0    5   18   12.25  33.20
   139.0    5   19   12.32  33.20
