 1   !! number of vertical layers
 0   ! vertical depth of climatology
    JDAY  MM  DD   TEMP   SALT JDAY=0 FOR JAN 01
      .0    1    1    8.99   0.00
     1.0    1    2    8.93   0.00
     2.0    1    3    8.99   0.00
     3.0    1    4    8.91   0.00
     4.0    1    5    8.89   0.00
     5.0    1    6    8.87   0.00
     6.0    1    7    8.83   0.00
     7.0    1    8    8.78   0.00
     8.0    1    9    8.72   0.00
     9.0    1   10    8.68   0.00
    10.0    1   11    8.59   0.00
    11.0    1   12    8.62   0.00
    12.0    1   13    8.75   0.00
    13.0    1   14    8.80   0.00
    14.0    1   15    8.82   0.00
    15.0    1   16    8.79   0.00
    16.0    1   17    8.82   0.00
    17.0    1   18    8.91   0.00
    18.0    1   19    8.99   0.00
    19.0    1   20    9.03   0.00
    20.0    1   21    9.12   0.00
    21.0    1   22    9.15   0.00
    22.0    1   23    9.25   0.00
    23.0    1   24    9.31   0.00
    24.0    1   25    9.36   0.00
    25.0    1   26    9.49   0.00
    26.0    1   27    9.49   0.00
    27.0    1   28    9.41   0.00
    28.0    1   29    9.43   0.00
    29.0    1   30    9.54   0.00
    30.0    1   31    9.64   0.00
    31.0    2    1    9.83   0.00
    32.0    2    2    9.86   0.00
    33.0    2    3    9.96   0.00
    34.0    2    4   10.11   0.00
    35.0    2    5   10.28   0.00
    36.0    2    6   10.43   0.00
    37.0    2    7   10.56   0.00
    38.0    2    8   10.61   0.00
    39.0    2    9   10.63   0.00
    40.0    2   10   10.61   0.00
    41.0    2   11   10.68   0.00
    42.0    2   12   10.77   0.00
    43.0    2   13   10.90   0.00
    44.0    2   14   10.95   0.00
    45.0    2   15   11.07   0.00
    46.0    2   16   11.07   0.00
    47.0    2   17   11.12   0.00
    48.0    2   18   11.13   0.00
    49.0    2   19   10.98   0.00
    50.0    2   20   10.89   0.00
    51.0    2   21   10.94   0.00
    52.0    2   22   11.13   0.00
    53.0    2   23   11.29   0.00
    54.0    2   24   11.35   0.00
    55.0    2   25   11.41   0.00
    56.0    2   26   11.38   0.00
    57.0    2   27   11.32   0.00
    58.0    2   28   11.42   0.00
    59.0    2   29   11.75   0.00
    60.0    3    1   11.45   0.00
    61.0    3    2   11.62   0.00
    62.0    3    3   11.70   0.00
    63.0    3    4   11.78   0.00
    64.0    3    5   11.98   0.00
    65.0    3    6   12.15   0.00
    66.0    3    7   12.04   0.00
    67.0    3    8   12.16   0.00
    68.0    3    9   12.12   0.00
    69.0    3   10   12.11   0.00
    70.0    3   11   12.22   0.00
    71.0    3   12   12.36   0.00
    72.0    3   13   12.35   0.00
    73.0    3   14   12.48   0.00
    74.0    3   15   12.62   0.00
    75.0    3   16   12.79   0.00
    76.0    3   17   12.98   0.00
    77.0    3   18   13.05   0.00
    78.0    3   19   12.89   0.00
    79.0    3   20   13.04   0.00
    80.0    3   21   13.10   0.00
    81.0    3   22   13.07   0.00
    82.0    3   23   12.90   0.00
    83.0    3   24   12.86   0.00
    84.0    3   25   12.78   0.00
    85.0    3   26   12.86   0.00
    86.0    3   27   12.98   0.00
    87.0    3   28   13.25   0.00
    88.0    3   29   13.55   0.00
    89.0    3   30   13.63   0.00
    90.0    3   31   13.83   0.00
    91.0    4    1   13.97   0.00
    92.0    4    2   14.16   0.00
    93.0    4    3   14.18   0.00
    94.0    4    4   14.29   0.00
    95.0    4    5   14.25   0.00
    96.0    4    6   14.28   0.00
    97.0    4    7   14.36   0.00
    98.0    4    8   14.36   0.00
    99.0    4    9   14.45   0.00
   100.0    4   10   14.41   0.00
   101.0    4   11   14.33   0.00
   102.0    4   12   14.32   0.00
   103.0    4   13   14.37   0.00
   104.0    4   14   14.31   0.00
   105.0    4   15   14.43   0.00
   106.0    4   16   14.78   0.00
   107.0    4   17   15.04   0.00
   108.0    4   18   15.38   0.00
   109.0    4   19   15.72   0.00
   110.0    4   20   16.14   0.00
   111.0    4   21   16.32   0.00
   112.0    4   22   16.60   0.00
   113.0    4   23   16.64   0.00
   114.0    4   24   16.62   0.00
   115.0    4   25   16.66   0.00
   116.0    4   26   16.69   0.00
   117.0    4   27   16.59   0.00
   118.0    4   28   16.39   0.00
   119.0    4   29   16.32   0.00
   120.0    4   30   16.47   0.00
   121.0    5    1   16.55   0.00
   122.0    5    2   16.57   0.00
   123.0    5    3   16.69   0.00
   124.0    5    4   16.83   0.00
   125.0    5    5   17.03   0.00
   126.0    5    6   17.42   0.00
   127.0    5    7   17.57   0.00
   128.0    5    8   17.56   0.00
   129.0    5    9   17.66   0.00
   130.0    5   10   17.72   0.00
   131.0    5   11   17.66   0.00
   132.0    5   12   17.78   0.00
   133.0    5   13   17.80   0.00
   134.0    5   14   17.74   0.00
   135.0    5   15   17.66   0.00
   136.0    5   16   17.77   0.00
   137.0    5   17   17.77   0.00
   138.0    5   18   17.72   0.00
   139.0    5   19   17.74   0.00
   140.0    5   20   17.96   0.00
   141.0    5   21   17.93   0.00
   142.0    5   22   17.72   0.00
   143.0    5   23   17.59   0.00
   144.0    5   24   17.42   0.00
   145.0    5   25   17.19   0.00
   146.0    5   26   17.24   0.00
   147.0    5   27   17.38   0.00
   148.0    5   28   17.52   0.00
   149.0    5   29   17.64   0.00
   150.0    5   30   17.79   0.00
   151.0    5   31   17.92   0.00
   152.0    6    1   18.02   0.00
   153.0    6    2   18.13   0.00
   154.0    6    3   18.33   0.00
   155.0    6    4   18.38   0.00
   156.0    6    5   18.44   0.00
   157.0    6    6   18.49   0.00
   158.0    6    7   18.57   0.00
   159.0    6    8   18.62   0.00
   160.0    6    9   18.61   0.00
   161.0    6   10   18.75   0.00
   162.0    6   11   18.91   0.00
   163.0    6   12   19.16   0.00
   164.0    6   13   19.34   0.00
   165.0    6   14   19.60   0.00
   166.0    6   15   19.76   0.00
   167.0    6   16   20.00   0.00
   168.0    6   17   20.20   0.00
   169.0    6   18   20.11   0.00
   170.0    6   19   20.17   0.00
   171.0    6   20   20.27   0.00
   172.0    6   21   20.36   0.00
   173.0    6   22   20.36   0.00
   174.0    6   23   20.30   0.00
   175.0    6   24   20.20   0.00
   176.0    6   25   20.10   0.00
   177.0    6   26   20.11   0.00
   178.0    6   27   20.35   0.00
   179.0    6   28   20.65   0.00
   180.0    6   29   20.62   0.00
   181.0    6   30   20.73   0.00
   182.0    7    1   20.79   0.00
   183.0    7    2   20.81   0.00
   184.0    7    3   20.99   0.00
   185.0    7    4   21.20   0.00
   186.0    7    5   21.00   0.00
   187.0    7    6   20.76   0.00
   188.0    7    7   20.66   0.00
   189.0    7    8   20.61   0.00
   190.0    7    9   20.61   0.00
   191.0    7   10   20.49   0.00
   192.0    7   11   20.60   0.00
   193.0    7   12   20.60   0.00
   194.0    7   13   20.57   0.00
   195.0    7   14   20.59   0.00
   196.0    7   15   20.67   0.00
   197.0    7   16   20.61   0.00
   198.0    7   17   20.52   0.00
   199.0    7   18   20.64   0.00
   200.0    7   19   20.77   0.00
   201.0    7   20   20.95   0.00
   202.0    7   21   20.97   0.00
   203.0    7   22   20.95   0.00
   204.0    7   23   20.78   0.00
   205.0    7   24   20.60   0.00
   206.0    7   25   20.42   0.00
   207.0    7   26   20.30   0.00
   208.0    7   27   20.23   0.00
   209.0    7   28   20.21   0.00
   210.0    7   29   20.12   0.00
   211.0    7   30   20.09   0.00
   212.0    7   31   20.12   0.00
   213.0    8    1   20.10   0.00
   214.0    8    2   20.08   0.00
   215.0    8    3   20.08   0.00
   216.0    8    4   19.99   0.00
   217.0    8    5   19.96   0.00
   218.0    8    6   19.98   0.00
   219.0    8    7   19.97   0.00
   220.0    8    8   20.14   0.00
   221.0    8    9   20.30   0.00
   222.0    8   10   20.49   0.00
   223.0    8   11   20.47   0.00
   224.0    8   12   20.46   0.00
   225.0    8   13   20.56   0.00
   226.0    8   14   20.54   0.00
   227.0    8   15   20.37   0.00
   228.0    8   16   20.45   0.00
   229.0    8   17   20.44   0.00
   230.0    8   18   20.33   0.00
   231.0    8   19   20.30   0.00
   232.0    8   20   20.17   0.00
   233.0    8   21   20.00   0.00
   234.0    8   22   20.03   0.00
   235.0    8   23   20.12   0.00
   236.0    8   24   20.25   0.00
   237.0    8   25   20.31   0.00
   238.0    8   26   20.30   0.00
   239.0    8   27   20.22   0.00
   240.0    8   28   20.28   0.00
   241.0    8   29   20.33   0.00
   242.0    8   30   20.46   0.00
   243.0    8   31   20.31   0.00
   244.0    9    1   20.24   0.00
   245.0    9    2   20.53   0.00
   246.0    9    3   20.68   0.00
   247.0    9    4   20.62   0.00
   248.0    9    5   20.36   0.00
   249.0    9    6   20.24   0.00
   250.0    9    7   20.24   0.00
   251.0    9    8   20.14   0.00
   252.0    9    9   19.91   0.00
   253.0    9   10   20.05   0.00
   254.0    9   11   20.21   0.00
   255.0    9   12   20.18   0.00
   256.0    9   13   19.97   0.00
   257.0    9   14   19.88   0.00
   258.0    9   15   19.78   0.00
   259.0    9   16   19.74   0.00
   260.0    9   17   19.79   0.00
   261.0    9   18   19.86   0.00
   262.0    9   19   19.91   0.00
   263.0    9   20   19.89   0.00
   264.0    9   21   20.06   0.00
   265.0    9   22   19.99   0.00
   266.0    9   23   20.08   0.00
   267.0    9   24   20.05   0.00
   268.0    9   25   19.95   0.00
   269.0    9   26   19.98   0.00
   270.0    9   27   20.07   0.00
   271.0    9   28   20.20   0.00
   272.0    9   29   20.07   0.00
   273.0    9   30   19.87   0.00
   274.0   10    1   19.77   0.00
   275.0   10    2   19.81   0.00
   276.0   10    3   19.73   0.00
   277.0   10    4   19.23   0.00
   278.0   10    5   18.92   0.00
   279.0   10    6   18.69   0.00
   280.0   10    7   18.57   0.00
   281.0   10    8   18.47   0.00
   282.0   10    9   18.39   0.00
   283.0   10   10   18.36   0.00
   284.0   10   11   18.22   0.00
   285.0   10   12   18.04   0.00
   286.0   10   13   18.04   0.00
   287.0   10   14   18.20   0.00
   288.0   10   15   18.39   0.00
   289.0   10   16   18.48   0.00
   290.0   10   17   18.43   0.00
   291.0   10   18   18.48   0.00
   292.0   10   19   18.37   0.00
   293.0   10   20   18.22   0.00
   294.0   10   21   18.02   0.00
   295.0   10   22   17.87   0.00
   296.0   10   23   17.78   0.00
   297.0   10   24   17.76   0.00
   298.0   10   25   17.56   0.00
   299.0   10   26   17.47   0.00
   300.0   10   27   17.29   0.00
   301.0   10   28   16.89   0.00
   302.0   10   29   16.82   0.00
   303.0   10   30   16.82   0.00
   304.0   10   31   16.81   0.00
   305.0   11    1   16.86   0.00
   306.0   11    2   16.64   0.00
   307.0   11    3   16.64   0.00
   308.0   11    4   16.59   0.00
   309.0   11    5   16.53   0.00
   310.0   11    6   16.39   0.00
   311.0   11    7   16.30   0.00
   312.0   11    8   15.96   0.00
   313.0   11    9   15.59   0.00
   314.0   11   10   15.29   0.00
   315.0   11   11   15.13   0.00
   316.0   11   12   14.93   0.00
   317.0   11   13   14.83   0.00
   318.0   11   14   14.75   0.00
   319.0   11   15   14.70   0.00
   320.0   11   16   14.64   0.00
   321.0   11   17   14.57   0.00
   322.0   11   18   14.48   0.00
   323.0   11   19   14.27   0.00
   324.0   11   20   14.13   0.00
   325.0   11   21   13.89   0.00
   326.0   11   22   13.69   0.00
   327.0   11   23   13.55   0.00
   328.0   11   24   13.33   0.00
   329.0   11   25   13.19   0.00
