 No          X          Y     Node   Depth          Station Name
  1  -122.46440    37.80694   12459   4.42  x941-4290 hs FTPC1 San Francisco, CA     x
  2  -122.21157    37.50796   45264   7.68  x941-4523   RTYC1 Redwood City, CA       x
  3  -122.29733    37.77169   21472   2.70  x941-4750 hs  AAMC1 Alameda, CA          x
  4  -122.31438    38.19437   46897   4.26  x941-4769   OMHC1 Oakland Middle Hbr., CAx
  5  -122.40011    37.92852   18719   2.24  x941-4863   RCMC1 Richmond, CA           x
  6  -122.97371    37.99711    3229   5.79  x941-5020 hs  PRYC1 Point Reyes, CA      x
  7  -122.03884    38.05750   48124   7.56  x941-5144 hs  PCOC1 Port Chicago, CA     x
  8  -122.12483    38.03420   45517   6.72  x941-5102  Martinez-Amorco Pr., CA       x
  9  -122.83187    37.75657     944  54.01  x46026   NBDC  18 nm W San Francisco,CA  x
 10  -122.59765    37.78116    9535  16.01  x46237   NBDC  San Francisco Bar,CA      x
 11  -122.46088    38.00114   24049   1.66  xSCQC1   China Camp, SF Bay Reserve, CA  x
 12  -122.03469    38.21241   53237   3.17  xSFXC1   San Francisco Bay Reserve, CA   x
 13  -122.44606    37.89038   14968   9.61  xTIBC1   Tiburon Pier, SF Bay, CA        x
 14  -122.25036    38.07012   40723   4.44  x941-5218 Mare Island, CA                x
 15  -122.31319    37.59163   36800   2.81  x941-4449 Coyote Creek Marina, CA        x
 16  -122.19310    37.50704   45709   2.24  x941-4501 Redwood Creek, CA              x
 17  -122.41301    37.80951   13626   8.57  x941-4305 North Point Pier 41, CA        x
 18  -122.38640    37.78958   15543  11.65  x941-4317 Pier 22.5, San Francisco       x
 19  -122.35583    37.72960   21732  25.90  x941-4358 Hunters Point                  x
 20  -122.31319    37.59163   36800   2.81  x941-4392 Oyster Point Marina            x
 21  -122.25353    37.57961   40113  11.97  x941-4458 San Mateo Bridge               x
 22  -122.11766    37.50683   46498  11.14  x941-4509 Dumbarton Bridge               x
 23  -122.02418    37.46395   50706   3.60  x941-4575 Coyote Creek                   x
 24  -122.19106    37.69490   32788   2.02  x941-4688 San Leandro Marina             x
 25  -121.93866    38.16813   53173  11.08  x941-4811 Bradmoor Island                x
 26  -122.31262    37.86333   20408   2.32  x941-4816 Berkeley                       x
 27  -122.41900    37.86325   14217  15.50  x941-4818 Angel Island                   x
 28  -122.47432    37.94552   20174   2.39  x941-4873 Pt. San Quentin                x
 29  -122.42485    37.95822   21149   1.54  x941-4881 Point Orient                   x
 30  -122.52885    37.81766   12225   6.55  x941-4906 Point Bonita                   x
 31  -122.44639    37.98957   22978   7.99  x941-5009 Point San Pedro                x
 32  -122.36274    38.01444   27885   2.44  x941-5056 Point Pinole                   x
 33  -121.81418    38.01965   53406  14.91  x941-5064 Antioch, San Joaquin           x
 34  -122.13065    38.04370   45279  17.96  x941-5111 Benecia                        x
 35  -121.91894    38.04362   51892  14.65  x941-5112 Mallard Island Ferry           x
 36  -122.22362    38.05870   41378  13.88  x941-5143 Crockett                       x
 37  -121.84773    38.07353   53041   4.24  x941-5176 Collinsville                   x
 38  -121.99179    38.08437   50554  14.53  x941-5197 Simmons Island                 x
 39  -122.07382    38.12053   49175   3.05  x941-5265 Suisun Slough                  x
 40  -122.40129    38.14894   40405   1.85  x941-5338 Sonoma Creek Entrance          x
 41  -122.12483    38.03420   45517   6.72  xs06010  Martinez-Amorco Pr., CA         x
 42  -122.42092    37.91612   16941  11.05  xs08010  Southampton Shoal Channel LB 6  x
 43  -122.34424    37.80789   16855  12.91  xs09010  Oakland Outer Harbor LB3        x
 44  -122.47253    37.81984   12412  91.86  xC1                                      x
 45  -122.57396    37.80471   10882  14.55  xCT1                                     x
 46  -122.52957    37.81262   12101  16.26  xC2                                      x
 47  -122.53665    37.77150   10708  16.66  xCT2                                     x
 48  -122.51501    37.80491   11679  40.41  xC3                                      x
 49  -122.58873    37.78691    9870  17.19  xCT3                                     x
 50  -122.51192    37.79775   11525  49.72  xC4                                      x
 51  -122.41302    37.85009   13788  45.91  xC5                                      x
 52  -122.42439    37.84548   13401  36.34  xC5A                                     x
 53  -122.37279    37.79178   15749  20.03  xC6                                      x
 54  -122.32431    37.72156   22836  13.38  xC7                                      x
 55  -122.28333    37.74531   23159   5.91  xC8                                      x
 56  -122.31801    37.67580   26898   8.96  xC9                                      x
 57  -122.23594    37.68932   29153   3.31  xC10                                     x
 58  -122.23186    37.62325   36007   3.37  xC11                                     x
 59  -122.19768    37.55400   42809  12.32  xC12                                     x
 60  -122.11544    37.50075   46691  15.13  xC13                                     x
 61  -122.08212    37.48741   47662   7.36  xC14                                     x
 62  -122.43918    37.87204   13913  39.21  xC16                                     x
 63  -122.43957    37.87314   13912  34.98  xC16A                                    x
 64  -122.44789    37.91486   16753  14.42  xC17                                     x
 65  -122.44252    37.97335   22091  23.52  xC18                                     x
 66  -122.42502    38.02658   26598   4.70  xC19                                     x
 67  -122.49179    38.11072   37280   3.87  xC20                                     x
 68  -122.40129    38.14894   40405   1.85  xC21                                     x
 69  -122.37648    38.03072   28582  12.23  xC22                                     x
 70  -122.34320    38.07377   34909   3.03  xC23                                     x
 71  -122.21591    38.06056   41723  19.66  xC24                                     x
 72  -122.13358    38.03851   45128  17.89  xC25                                     x
 73  -122.15065    38.03349   44537  13.39  xC25A                                    x
 74  -122.09036    38.05279   46519   7.73  xC26                                     x
 75  -122.08257    38.08114   47129   8.28  xC27                                     x
 76  -122.05546    38.11771   48903   3.07  xC28                                     x
 77  -122.02238    38.07343   49109   8.24  xC29                                     x
 78  -122.00824    38.08888   50193  10.03  xC30                                     x
 79  -121.95492    38.06406   51178   2.68  xC31                                     x
 80  -121.92101    38.04807   51822  11.25  xC32                                     x
 81  -121.85000    38.06223   52851   9.28  xC33                                     x
 82  -121.83385    38.03049   53254  11.41  xC34                                     x
 83  -121.80271    38.05866   53423   9.36  xC35                                     x
 84  -122.61751    37.78182    8553  12.52  xC201                                    x
 85  -122.60434    37.75828    8024  13.14  xC202                                    x
 86  -122.54534    37.81603   11935  12.09  xC203                                    x
 87  -122.52646    37.76964   10410  14.92  xC204                                    x
 88  -122.51621    37.82096   12191  15.08  xC205                                    x
 89  -122.48878    37.79697   11967  17.00  xC206                                    x
 90  -122.48173    37.80932   12287  22.00  xC207                                    x
 91  -122.46735    37.81197   12436  23.74  xC208                                    x
 92  -122.45809    37.84460   12810  18.27  xC209                                    x
 93  -122.46904    37.85917   13182   4.57  xC210                                    x
 94  -122.43307    37.80639   12927   3.95  xC211                                    x
 95  -122.41276    37.88663   15374  11.64  xC212                                    x
 96  -122.45877    37.90254   15883  11.86  xC213                                    x
 97  -122.46067    37.94103   19163   9.21  xC214                                    x
 98  -122.45328    37.94104   19167  14.70  xC215                                    x
 99  -122.42789    37.94124   19507  13.39  xC216                                    x
100  -122.40944    37.93228   19035   3.46  xC217                                    x
101  -122.39685    37.92142   18180   2.62  xC218                                    x
102  -122.37234    37.90334   18200   6.61  xC219                                    x
103  -122.36123    37.84445   15834   5.85  xC220                                    x
104  -122.35904    37.87694   16983   3.23  xC221                                    x
105  -122.31178    37.85246   19756   2.91  xC222                                    x
106  -122.34662    37.82491   16672   4.86  xC223                                    x
107  -122.38877    37.83745   14501   9.07  xC224                                    x
108  -122.37412    37.79052   15865  20.59  xC225                                    x
109  -122.35680    37.80421   16096  12.44  xC226                                    x
110  -122.14395    38.03602   44802  12.92  xC227                                    x
111  -122.14975    38.02858   44628  13.92  xC228                                    x
112  -122.08151    38.13738   49999   6.39  xC229                                    x
113  -122.05665    38.14746   50261   7.97  xC230                                    x
114  -121.86558    38.06967   52715   4.26  xC235                                    x
115  -122.04085    38.06466   48074  10.71  xC237                                    x
116  -122.04904    38.05438   47701   8.71  xC238                                    x
117  -121.99252    38.05832   49812  10.57  xC239                                    x
118  -121.83858    38.04276   53069   3.80  xC243                                    x
119  -121.84713    38.03048   53038   8.27  xC246                                    x
120  -122.34505    37.79412   17209   8.83  xC302                                    x
121  -122.28505    37.79517   21154  12.30  xC303                                    x
122  -122.35778    37.75678   19628  18.23  xC304                                    x
123  -122.32472    37.76803   20283   6.73  xC305                                    x
124  -122.35017    37.70755   23202  12.31  xC306                                    x
125  -122.36407    37.65505   27975   5.71  xC307                                    x
126  -122.28108    37.67614   28104   7.09  xC308                                    x
127  -122.29649    37.62532   32871  12.11  xC309                                    x
128  -122.22739    37.65004   33063   3.10  xC310                                    x
129  -122.24844    37.59006   39254  13.60  xC312                                    x
130  -122.19889    37.59927   40495   2.52  xC313                                    x
131  -122.42489    38.06218   29670   3.11  xC314                                    x
132  -122.31696    38.03840   33003   6.07  xC315                                    x
133  -122.27755    38.06243   38590  12.45  xC316                                    x
134  -122.24355    38.07486   41093   5.58  xC317                                    x
135  -122.39066    38.00807   25957   6.16  xC320                                    x
136  -122.59756    37.72020    5989  21.33  xC321                                    x
137  -122.63818    37.80493    8538  20.94  xC322                                    x
138  -122.40166    37.87409   14891  12.37  xC323                                    x
139  -122.50205    37.81094   12073  67.89  xSFB1201 San Francisco Bay Ent.          x
140  -122.46196    37.82835   12558  46.00  xSFB1202 Golden Gate Bridge              x
141  -122.47253    37.81984   12412  91.86  xSFB1203 Golden Gate Bridge 0.46 nm E    x
142  -122.43236    37.81381   12922  20.96  xSFB1204 Alcatraz Island                 x
143  -122.40740    37.81382   13685  18.74  xSFB1205 Pier 35, N                      x
144  -122.39787    37.80481   14267  13.93  xSFB1206 Pier 23                         x
145  -122.37317    37.80090   15431  22.18  xSFB1207 D Tower                         x
146  -122.37825    37.79751   15339  28.42  xSFB1208 SF-Oakland Bay Bridge Span      x
147  -122.38419    37.81019   14618  31.60  xSFB1209 Yerba Buena Island, W           x
148  -122.38877    37.83745   14501   9.07  xSFB1210 Treasure Island, 0.78 NW        x
149  -122.42013    37.83429   13340  27.38  xSFB1211 Alcatraz Isl, 0.5 nm N          x
150  -122.44101    37.87171   13844  39.05  xSFB1212 Racoon Strait                   x
151  -122.31945    37.79484   18946  11.19  xSFB1213 Oakland Inner Harbor            x
152  -122.28505    37.79517   21154  12.30  xSFB1214 Oakland Inner Harbor Reach      x
153  -122.26104    37.78570   22565  12.32  xSFB1215 Brooklyn Basin, NW Ent.         x
154  -122.22317    37.76173   25810   4.12  xSFB1216 Alameda Estuary, SE             x
155  -122.37412    37.79052   15865  20.59  xSFB1217 Rincon Point, 0.57 nmi. E       x
156  -122.32506    37.84335   18604   5.09  xSFB1218 Emeryville Marina Ent.          x
157  -122.46914    37.85643   13075   6.79  xSFB1219 Richardson Bay Ent.             x
158  -122.51942    37.80006   11521  40.07  xSFB1220 Point Bonita, 0.95 nmi. SSE     x
159  -122.61425    37.78525    8899  11.98  xSFB1221 SF Bar                          x
160  -122.70136    37.74974    3497  36.08  xSFB1222 SF Buoy (Point Lobos)           x
161  -122.69521    37.64298     716  42.37  xSFB1223 Point San Pedro, 8.8 nm WNW     x
162  -122.79864    37.69072     466  59.20  xSFB1224 Farallon Light, 9.5 nm E        x
163  -122.80461    37.80278    2347  51.44  xSFB1225 Bolinas Point, 7.0 NM SW        x
164  -122.11624    37.50219   46642  15.34  xSFB1301 Dumbarton Bridge                x
165  -122.16006    37.53095   44665  15.16  xSFB1302 Redwood Point                   x
166  -122.19024    37.55163   43154  13.90  xSFB1303 Redwood Creek Entrance          x
167  -122.19925    37.52615   44269   5.44  xSFB1304 Redwood Creek                   x
168  -122.25002    37.58754   39441  15.88  xSFB1305 SAN MATEO BRIDGE                x
169  -122.29649    37.62532   32871  12.11  xSFB1306 Anchorage 138                   x
170  -122.23731    37.66272   31248   3.65  xSFB1307 Mulford Gardens Chl             x
171  -122.33837    37.69651   24444  10.70  xSFB1308 Hunters Point                   x
172  -122.41970    37.89077   15277  14.49  xSFB1309 Point Chauncey                  x
173  -122.44618    37.91478   16754  12.96  xSFB1310 Point Chauncey N                x
174  -122.42583    37.92992   18160  16.07  xSFB1311 Red Rock                        x
175  -122.43898    37.96901   21879  24.94  xSFB1312 Point San Pablo                 x
176  -122.42489    38.06218   29670   3.11  xSFB1313 Petaluma River                  x
177  -122.37648    38.03072   28582  12.23  xSFB1314 Pinole Point                    x
178  -122.33553    38.04736   32759  11.52  xSFB1315 Pinole Shoal                    x
179  -122.27755    38.06243   38590  12.45  xSFB1316 Davis Point                     x
180  -122.24469    38.07782   41186   6.39  xSFB1317 Mare Island Strait              x
181  -122.22785    38.06182   41291  27.80  xSFB1318 I-80 Carquinez Bridge           x
182  -122.21815    38.06061   41636  19.76  xSFB1319 CARQUINEZ STRAIT (REF)          x
183  -122.19355    38.05919   42666  30.34  xSFB1320 Dillon Point                    x
184  -122.16997    38.04192   43581  22.58  xSFB1321 Port Carquinez                  x
185  -122.05546    38.11771   48903   3.07  xSFB1322 Suisun Slough                   x
186  -122.03359    38.06533   48408  10.11  xSFB1323 Roe Island                      x
187  -121.99252    38.05832   49812  10.57  xSFB1324 Middle Point Lt                 x
188  -121.92318    38.04825   51783  11.68  xSFB1325 Simmons Point                   x
189  -121.86815    38.03251   52671   8.92  xSFB1326 New York Slough                 x
190  -121.82303    38.02412   53347  15.41  xSFB1327 Antioch Point                   x
191  -121.78720    38.03116   53747   1.70  xSFB1328 West Island                     x
192  -121.78537    38.03172   53748   1.47  xSFB1329 Rt 160 Bridge                   x
193  -121.87098    38.05822   52519  15.17  xSFB1330 Sacramento River Entr           x
194  -121.83345    38.06491   53182   9.47  xSFB1331 Point Sacramento                x
195  -121.76450    38.07681   53756   9.75  xSFB1332 Sacramento River Lt14           x
196  -121.68624    38.16008   54117   8.72  xSacramento River Inflow 1               x
197  -121.68427    38.15926   54116   9.41  xSacramento River Inflow 2               x
198  -121.68447    38.15759   54113   9.09  xSacramento River Inflow 3               x
199  -121.68049    38.15760   54119   7.93  xSacramento River Inflow 4               x
200  -121.67906    38.15686   54120   7.72  xSacramento River Inflow 5               x
201  -121.68743    38.15861   54112  10.59  xSacramento River Downstream 1           x
202  -121.68447    38.15759   54113   9.09  xSacramento River Downstream 2           x
203  -121.68222    38.15673   54114   6.62  xSacramento River Downstream 3           x
204  -121.67989    38.15565   54115   7.50  xSacramento River Downstream 4           x
205  -121.80017    38.02560   53482   3.38  xSan Joaquin River Inflow 1              x
206  -121.80020    38.02395   53481   3.02  xSan Joaquin River Inflow 2              x
